0,0,-1.2117,7.6987,13.078,6.6908,12.876,5.0179,-1.3445,0,0,-1.2318,7.4687,18.566,16.543,22.387,4.3441,-1.164,-0.22035,-0.282,3.8452,-23.896,-30.025,-22.937,-35.694,-4.1432,1.1102,6.9904,14.691,-66.198,249.27,896.63,775.31,882.7,104.51,-28.004,19.618,-39.583,552.85,1054.3,574.97,-82.203,974.1,345.73,-92.637,10.278,-33.057,377.89,1073,262.54,533.87,1068.7,187.56,-50.257,11.99,15.192,1.3789,266.08,1002.1,965.27,325.59,5.5474,-1.4864,2.7838,2.7393,5.6072,0.70151,113.21,70.831,6.4922,1.2514,-0.3353,-0.74592,-0.734,-1.5024,-0.18797,-30.335,-18.979,-1.7396,-0.3353,0.089844
18.415,12.826,10.52,9.5329,27.367,15.228,18.393,6.8757,-1.8423,14.807,11.724,15.695,-19.64,-49.971,-79.227,-30.13,6.2245,-1.6679,11.121,18.613,-56.247,195.26,675.74,770.63,338.07,-5.6732,1.5201,11.344,-18.267,198.63,882.27,326.14,52.763,765.76,82.788,-22.183,4.6291,-75.816,698.64,330.17,-4.7719,-79.973,738.45,118.9,-31.858,15.292,-6.0476,161.52,960.07,295.02,-154.37,727.71,127.9,-34.272,13.365,13.431,1.0475,178.85,926.58,816.08,980.55,70.293,-18.835,6.1761,6.9,5.0851,-5.8912,46.395,314.28,223.89,1.9042,-0.51024,-1.6549,-1.8488,-1.3625,1.5785,-12.431,-84.212,-59.99,-0.51024,0.13672
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.7178,-3.2837,-0.39246,6.4358,-54.096,-78.341,-46.325,0.5985,-0.16037,13.395,23.547,-51.401,-8.3955,341.09,517.4,300.97,8.4664,-2.2686,13.307,-22.189,338.64,924.52,889.98,486.41,1085.1,317.12,-84.971,12.114,-55.308,468.97,1043.6,331.53,779.96,1089.4,169.2,-45.337,30.031,31.031,-5.2544,239.21,565.5,582,182.46,4.811,-1.2891,5.0407,3.8801,5.243,4.865,8.1027,6.6861,6.2487,0.81611,-0.21867,-1.3506,-1.0397,-1.4049,-1.3036,-2.1711,-1.7915,-1.6743,-0.21867,0.058594
0,0,-0.45975,2.6248,15.449,8.1199,12.652,2.2112,-0.59248,0,0,-1.3641,6.9776,9.2052,0.81881,11.215,4.8385,-1.2965,-2.0295,-3.2039,2.9375,-47.51,99.665,151.38,107.07,-14.614,3.9159,14.981,22.792,-46.103,648.23,1006,804.04,1021.2,242.61,-65.008,18.026,-53.383,642.55,1041.4,806.4,-57.208,786.25,319.48,-85.605,7.191,-71.554,618.06,953.68,106.02,110.49,1082.6,336.56,-90.18,7.818,1.481,49.029,834.45,992.22,1081.2,845.48,95.106,-25.484,2.8172,3.8907,-1.3816,43.004,295.64,339.42,64.572,0.81611,-0.21867,-0.75486,-1.0425,0.37021,-11.523,-79.217,-90.948,-17.302,-0.21867,0.058594
0,0,-0.40572,5.0073,11.172,12.44,12.939,1.2659,-0.33921,0,0,-1.4682,11.091,11.198,-46.892,-9.5781,2.1863,-0.58581,-0.55892,-1.2591,-5.2916,-29.261,146.1,454.23,225.39,-13.703,3.6718,8.5495,8.4914,6.7988,763.76,659.13,276.05,878.57,193.37,-51.814,16.215,-63.313,716.17,381.67,14.057,-10.032,270.97,319.71,-85.667,15.448,-66.957,751.16,440.84,97.022,-136.5,601.95,309.16,-82.838,21.091,11.481,52.383,582.32,933.99,526.12,749.24,41.491,-11.118,7.8716,8.5804,4.5948,-1.3819,254.64,334.59,95.036,0.65965,-0.17675,-2.1092,-2.2991,-1.2312,0.37028,-68.23,-89.654,-25.465,-0.17675,0.047361
4.7204,5.1413,12.372,7.7848,1.8589,5.1087,17.095,1.6444,-0.44062,2.398,4.3052,15.945,9.3039,-2.569,1.9941,22.3,1.8452,-0.49441,7.8992,7.4563,-6.3029,102.48,192.41,175.59,-42.549,-6.65,1.0958,21.094,18.544,128.15,837.95,356.04,578.58,802.37,60.135,-13.742,13.982,6.3927,155.29,592,14.615,-13.866,323.77,502.21,-47.39,5.9007,-72.046,527.3,288.68,-56.513,-85.954,195.02,611.83,-28.834,9.4407,1.855,95.417,876.22,577.88,584.17,913.22,262.97,-45.217,7.617,7.6948,-3.1006,42.817,314.56,192.67,69.771,4.7864,4.5173,-2.041,-2.0618,0.83081,-11.473,-84.285,-51.626,-18.695,-1.2825,-1.2104
18.415,12.826,10.846,9.3495,7.4503,13.162,21.322,4.6524,-1.2466,14.807,11.724,11.507,6.1345,-67.497,-55.942,20.474,3.6742,-0.98451,11.152,17.987,-34.209,59.168,480.31,416.92,-17.295,3.3985,-0.91063,14.527,-15.397,231.86,971.94,831.28,1055.8,603.95,-15.019,4.0244,16.187,-61.048,722.38,1009.6,127.31,419.59,1049.6,188.95,-50.629,13.619,-71.374,655.32,433.06,-11.705,-25.871,1020.3,339.45,-90.956,10.664,-29.7,336.18,902.41,234.52,711.16,1099.8,222.79,-59.697,4.8943,7.8263,-12.869,418.03,582.84,580.54,187.22,4.44,-1.1897,-1.3114,-2.0971,-6.1642,-54.076,-33.922,-41.507,-24.274,2.341,-0.62728
0,0,-1.1425,12.042,6.6288,15.65,16.705,1.891,-0.50669,0,0,-0.80577,11.906,18.193,15.817,19.292,4.382,-1.1741,-0.83731,-2.2697,2.5958,-55.276,-48.682,94.292,27.653,-8.9506,2.3983,6.998,15.83,-39.575,648.09,882.31,653.15,960.01,282.74,-75.76,17.543,-52.671,652.35,744.97,102.5,-69.886,937.48,323.67,-86.728,15.783,-67.302,670.18,772.83,108.77,415.64,1104.3,284.31,-76.18,17.833,-28.003,316.08,802.01,920.14,793.27,259.97,6.8508,-1.8357,6.4151,7.3002,4.5262,1.2482,4.6436,4.9497,4.4726,2.8271,-0.75751,-1.7189,-1.9561,-1.2128,-0.33446,-1.2442,-1.3263,-1.1984,-0.75751,0.20297
0,0,-0.31264,3.6249,11.802,11.104,10.631,3.2418,-0.86862,0,0,-0.31737,3.4708,14.114,22.824,13.448,2.8674,-0.76831,-1.3689,-0.45644,1.3623,-26.18,-65.25,-17.984,-55.866,-19.932,4.6656,7.0297,-4.3376,23.235,283.73,756.94,786.67,798.9,174.48,-28.156,26.423,-47.619,440.27,810.76,151.11,0.39248,309.67,556.68,-38.85,8.2723,-8.5546,188.6,1128.4,481.46,-98.035,304.33,591.96,-23.188,14.266,10.598,7.3731,229.64,629.24,717.1,818.04,145.94,-23.135,3.9901,3.2759,2.9431,9.1456,0.41441,116.74,40.532,2.1805,1.9118,-1.0692,-0.87776,-0.78859,-2.4506,-0.11104,-31.28,-10.861,-0.58425,-0.51226
0,0,0,0,-0.75722,4.8975,10.631,3.2418,-0.86862,0,0,0,0,-1.6556,12.041,13.448,2.8674,-0.76831,-0.39547,-0.87839,5.8954,-33.868,-84.85,-41.13,-55.902,-18.658,4.9995,3.2121,12.429,-70.023,223.07,671.23,779.28,755.05,138.34,-37.068,9.4335,-42.189,433.43,884.46,413.45,-71.452,824.18,344.77,-92.382,8.5445,-72.423,769.93,584.85,-76.628,348.76,973.62,186.27,-49.91,7.049,-15.418,157.04,817.95,811.09,772.93,231.74,8.8566,-2.3731,3.6951,4.9169,7.1414,-0.70044,94.252,5.7007,3.9194,1.262,-0.33816,-0.99011,-1.3175,-1.9135,0.18768,-25.255,-1.5275,-1.0502,-0.33816,0.09061
