0,0,0,0,0,0,0,0,3.549,8.84,2.5344,0.58582,0.079247,0,0,0,0,0,0,0,0,0,0,1.5948,1.5069,-8.3355,-8.1124,-0.74223,0,0,0,0,0,0,0,0,0,0,65.111,51.549,-133.09,11.74,0.085817,0,0,0,0,0,0,0,0,0,0,14.169,-12.941,-20.545,-28.348,0.73982,0,0,-3.4698,-4.8771,0.8125,-1.5748,-37.02,4.6148,39.035,-3.3035,70.374,-12.407,-1.4097,-1.3014,0.065785,0,0,-2.8301,-3.7724,-1.5882,-145.17,9.2271,4.1842,25.975,-71.64,43.192,1.5777e-030,5.9438e-015,9.1559e-015,1.2442e-017,0,0,-1.299,-10.188,60.112,44.417,-9.652,41.451,-32.22,27.206,-14.382,1.5777e-030,5.9438e-015,9.1559e-015,1.2442e-017,0,0,7.4306,-0.2847,-5.6445,-4.9579,42.578,-2.8864,-70.475,22.715,-2.5634,1.5777e-030,5.9438e-015,9.1559e-015,1.2442e-017,0,0,5.0957,-3.9249,45.574,26.428,-1.2222,-3.145,-90.06,19.363,102.54,-16.965,139.64,11.11,-1.3493,0,0,-4.933,-2.6226,-3.3807,3.1699,4.6552,50.885,55.497,-58.33,-18.987,-11.717,10.768,10.332,-0.88277,0,0,3.4698,13.857,1.6262,-17.329,58.551,78.082,-35.164,123.02,1.6801,-0.25449,11.013,-1.2252,0.4387,0,0,-2.1438,-14.832,-4.9608,88.934,-31.417,-10.2,-45.488,-57.735,1.4167,0.74551,-2.8035,4.4208,-0.83253,0,0,0.84479,1.9967,2.061,16.759,-6.6257,0.31699,-24.481,19.724,1.1773,1.326,0.88966,-1.6295,0.28349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51226,-2.2533,0.62828,0.6863,2.1863,24.086,-29.812,-0.99103,59.458,-119.41,131.67,-93.536,13.687,0,0,-4.6896,-4.7868,-146.27,70.934,-13.049,-8.7966,-101.92,-110.42,54.055,9.7508,-23.004,-31.826,-23.048,0,0,-0.46979,12.102,27.571,-84.268,7.0053,-4.4886,64.904,54.25,-65.232,-56.474,-139.6,36.776,3.2075,0,0,-5.1594,10.757,2.805,8.6136,-9.8191,-12.969,-5.805,-63.926,-91.79,90.621,64.919,-15.714,0.77692,0,0,6.0736,-5.4608,1.3092,-36.885,3.7099,39.465,-4.9276,-22.138,-61.61,88.626,-15.292,42.108,21.93,0,0,-5.799,-0.84479,99.232,-5.3685,2.2222,-7.5666,48.361,-36.212,6.9832,-2.0558,143.73,-63.254,11.303,0,0,-3.8391,11.844,34.406,-106.74,121.35,-32.439,44.712,-25.34,1,8.4294,-14.59,-4.9416,-1.0413,0,0,-1.6683,-4.1507,11.808,13.391,-17.328,27.313,3.2937,-1.8436,16.427,-8.6537,0.12051,14.919,-0.52572,0,0,-0.54904,-0.92973,-1.8828,-0.5903,-0.58373,-0.88277,0.10321,-0.12949,-0.60705,0.24583,0.49311,-0.36931,0.65313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,-2.0703,-3.9183,0.89295,1.3203,1.1773,0,0,0,0,0,0,0,0,0,0,-8.8546,-1.0715,-7.8648,-3.875,0.66418,0,0,0,0,0,0,0,0,0,0,-4.2365,-0.16987,-0.39295,-9.8236,-0.91298,0,0,0,0,0,0,0,0,0,0,-44.417,102,30.806,0.8738,-1.7491,0,0,0,0,0,0,4.0981,0.53349,-47.565,-3.9776,43.809,-3.4133,68.207,-7.15,4.6014,-41.284,-3.9563,-57.864,15.937,0,0,-0.24343,7.2533,7.6784,-57.696,1.4457,21.295,-45.712,-21.546,-138.39,11.912,7.0801,-27.29,-24.052,0,0,-6.1414,-8.1528,-8.1091,-55.346,16.658,-77.818,13.681,28.228,-9.1018,-70.797,82.938,-9.5245,-1.9085,0,0,11.766,-6.5266,-1.2189,-82.227,18.937,44.438,25.857,3.9163,-66.059,-83.529,-14.065,3.745,0.2222,0,0,-2.3562,0.019152,3.2219,90.717,20.363,-27.864,43.599,-1.6259,-20.927,-56.404,120.01,-20.423,1.0948,0,0,-4.6316,-5.2721,-78.414,3.1336,119.33,20.916,-76.295,-164.54,22.544,-37.891,-68.245,123.38,4.5025,0,0,-11.792,-10.325,36.175,54.891,-51.054,-68.6,91.332,13.664,-6.4894,-17.016,-28.344,-10.935,3.7214,0,0,13.446,10.198,3.1393,-18.835,-20.959,-30.022,-16.851,3.4445,7.9869,-7.0188,-8.7954,-5.3938,-1.509,0,0,-1.1151,-0.63814,0.086139,-2.058,0.86034,2.0311,1.3227,0.69615,1.7745,2.4333,0.045431,0.30232,0.40609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.5679,-2.1495,2.9943,1.7913,-2.049,-14.299,7.8938,2.4743,60.509,-18.407,12.971,29.573,-4.9976,-5.6696,8.7084,-4.7575,0.95064,3.5748,-29.413,-102.49,13.744,-0.50481,-1.8301,21.145,-13.565,11.344,16.503,-124.95,31.37,-11.26,5.9575,-1.3059,-59.329,-27.486,24.989,-53.397,-19.027,-1.7647,-1.663,102.53,-188.56,2.1732,31.804,-3.4609,-1.3669,5.3277,2.7961,-8.9575,52.327,117.96,-42.181,-7.0577,114.76,62.923,60.403,-17.118,-19.997,-8.2419,3.0478,-4.5311,-1.1462,-2.4306,-4.6307,56.57,-109.72,11.033,46.138,-4.7719,-10.436,19.896,-101.61,19.677,40.995,-20.626,3.0212,0.61274,0.061298,-2.2153,-23.725,11.75,41.366,-118.14,18.884,2.9889,4.7554,15.715,-8.4716,-20.901,4.568,-1.384,-7.0924,2.5891,-53.432,25.047,-77.067,39.905,15.346,-8.8436,-4.0266,-2.337,0.63606,6.6169,-2.2189,-4.7165,9.6962,0.98774,-3.2545,18.979,-8.7256,5.8872,2.2978,8.4199,-9.2374,0.43958,-5.0266,1.5792,-1.8248,-4.9506,1.8562,-1.2099,-0.54904,-1.884,0.11931,1.3938,-1.183,1.3146,-1.0634,-3.6953,-0.51587,-0.30922,1.1594,0.86843,-1.5425,-0.72668,0.49103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.0646,-4.5278,-4.8113,0.31699,-47.703,39.344,3.3738,11.971,4.4318,3.4698,-53.188,-68.143,14.562,-7.8391,13.831,-0.13157,6.3134,-5.154,-43.357,-13.089,-159.86,120.4,-86.987,75.642,52.247,-23.998,-21.754,-124.76,26.901,-9.2745,3.924,-0.38846,10.694,62.82,-15.161,-25.679,1.0507,-62.458,29.632,-36.935,-32.335,138.9,-30.965,-24.311,-2.0589,4.2084,-2.5454,-9.9719,-24.493,92.252,69.832,-16.052,-128.86,31.355,1.9931,5.0353,19.731,22.365,-0.38966,-0.46979,-1.701,3.5592,14.083,-8.8738,-190.54,19.365,-41.578,58.358,99.963,51.276,-51.427,6.1663,56.255,-20.046,-13.044,-6.0834,-13.734,-11.918,86.651,81.79,15.292,-31.9,9.0306,-21.239,-16.803,13.749,7.9817,-11.513,15.572,-2.0957,0.83494,-2.3215,-3.9824,20.24,9.8776,19.766,-34.987,3.2763,6.773,-5.0057,7.706,-8.099,-0.84567,3.5266,-2.0066,-9.0679,-9.5667,4.4674,12.167,-140.73,113.49,14.935,4.9632,-3.8424,12,-6.6292,-9.3971,2.8869,-6.2676,1.5792,-0.34239,-1.3329,0.28437,-1.3771,14.126,-20.232,4.6251,2.0861,1.8696,-0.95873,-1.0601,1.0066,-0.14295,-0.1597,0.54904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.125,-2.0335,1.0033,-3.8023,-2.4551,0.33253,-8.4494,4.5368,0.036779,0,0,0,0,0,0,-2.4665,2.145,-8.8044,7.2688,-7.2623,-6.5556,-2.9432,-8.5111,-0.68301,0,0,0,0,0,0,-1.3995,-5.6761,0.090304,-4.2835,-1.9877,-6.6115,-4.6663,-3.6148,0.52989,0,0,0,0,0,0,7.1349,-8.8771,0.86603,41.807,-118.28,131.3,19.355,11.811,-0.51226,0,0,0,0,0,0,-2.6462,4.4653,-0.81939,-109.3,33.344,-22.775,113.52,1.064,-1.3591,-4.2231,-15.178,-9.8191,11.933,5.8648,-4.6103,3.2688,-2.8493,0.47941,42.379,39.905,-41.943,-1.0506,-114.9,16.199,1.5646,6.9731,12.928,-1.1752,-7.5921,9.2051,0.65521,-4.5257,4.7897,2.23,99.985,47.369,120.05,76.415,29.294,18.531,55.337,-22.263,-69.013,18.815,-7.0458,-4.067,6.067,-7.0924,-9.6962,4.469,39.816,-162.97,-33.335,33.647,7.3107,30.53,-5.4089,-29.493,-18.834,-4.657,0.45994,5.7754,-3.0099,-36.689,-0.019152,16.642,-122.8,0.89293,0.34271,111.99,-30.377,75.951,-57.859,-20.124,-5.8881,-9.0834,-3.404,-4.695,49.727,-18.408,81.388,-48.488,-61.062,-88.523,14.441,-5.5393,-31.071,-107.28,31.679,-12.093,6.75,4.8155,4.8849,-65.531,-17.551,24.152,-90.968,15.7,9.4244,-5.4086,4.8289,-7.0972,18.393,11.219,-8.8343,1.9584,-6.851,1.77,21.396,-32.773,19.147,20.447,5.4151,-10.382,7.9216,7.558,-4.9016,-3.2377,-5.0377,5.0335,-0.13726,-0.28349,0.32684,-0.43181,-0.82356,-3.4812,0.95184,0.23029,-1.442,0.68061,-0.50865,0.75,-0.29247,0.76554,-0.98774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,6.6594,1.0188,-7.1349,-1.8849,-0.39054,0,0,0,0,0,0,0,0,0,0,1.1295,0.22997,-10.614,-13.127,-1.047,0,0,0,0,0,0,0,0,0,0,2.6438,-6.0945,-5.2946,-10.067,1.9707,0,0,0,0,0,0,0,0,0,0,30.625,-2.7799,109.42,19.063,-0.82716,0,0,0,0,0,0,6.3481,-0.12949,-2.674,-47.753,-22.998,4.3726,-26.225,-110.02,14.542,-2.3203,0.68301,7.8179,2.4163,1.0458,-1.5368,0.10465,-13.128,-4.1107,62.392,-10.201,51.393,-43.157,-14.629,114.48,-43.296,-5.846,8.2365,42.614,-3.8403,3.3113,-5.2966,8.9874,5.9192,-11.929,44.56,5.6503,-72.468,14.469,-14.895,7.4502,0.37107,0.85617,-17.941,1.0212,-3.433,7.5736,11.619,-9.1043,-17.842,-1.3954,10.539,-107.09,23.138,-10.14,1.212,1.5482,4.6962,55.515,-9.5648,-9.9494,-0.84063,3.6699,-40.103,-11.059,40.676,50.049,-10.913,-62.781,74.857,-8.8287,5.3681,0.77692,7.788,6.1824,-7.7036,-5.5131,2.9094,-0.16266,5.4506,-15.014,-3.2992,46.387,76.937,12.399,73.761,8.6752,-0.96202,51.552,-23.255,2.6038,-6.1627,3.4641,-40.504,19,1.2479,-93.282,11.516,-16.239,12.528,-11.472,6.73,2.1232,-15.738,2.8539,1.8693,1.9599,1.2921,7.6579,-6.0835,-8.2631,-1.8661,0.37227,10.024,2.6474,-1.6226,-4.9563,-6.1316,6.8849,-4.2141,6.6962,0.96082,-0.50657,-3.98,-3.4901,1.5879,-0.44439,-0.11186,-1.52,0.1887,0.49672,-0.57147,-1.4264,1.2353,1.4031,-0.95096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.5,3.3905,-2.0123,-1.241,5.9731,1.0188,-7.1349,-1.8849,-0.39054,0,0,0,0,0,0,-2.1438,-0.91298,4.2276,-1.3615,-0.016747,0.22997,-10.614,-13.127,-1.047,0,0,0,0,0,0,-0.45425,0.32925,-5.9719,8.7018,2.1014,-6.0945,-5.2946,-10.067,1.9707,0,0,0,0,0,0,-4.3514,15.831,-16.044,-14.719,7.9966,-2.7799,109.42,19.063,-0.82716,0,0,0,0,0,0,5.6986,-6.3558,1.962,79.629,-19.785,107.47,-15.113,-1.0874,6.4776,1.5368,-0.92404,0.12949,0.0044873,-7.8391,13.831,-4.933,-2.6226,-3.3807,3.1699,-53.054,-18.465,22.268,42.521,9.2443,10.838,10.062,2.328,-133.78,26.901,-9.2745,3.4698,13.857,1.6262,-17.329,79.083,43.826,-74.831,21.344,32.92,165.12,-25.634,129.58,-33.061,-24.311,-2.0589,-2.1438,-14.832,-4.9608,88.934,-29.926,32.043,44.431,-9.7606,-48.417,-52.539,-2.833,15.282,22.62,-0.38966,-0.46979,0.094791,6.3538,-0.31282,14.689,-2.6526,33.472,-2.1337,-116.44,-9.5739,137.06,14.467,-135.15,3.1377,-6.2889,8.8669,-2.1438,-0.91298,4.2276,-1.3615,51.265,18.038,118.1,29.836,-122.41,-23.538,24.306,2.473,-52.229,-16.434,-7.558,-0.45425,0.32925,-5.9719,8.7018,49.319,-11.286,-20.366,-7.4852,18.823,58.651,2.0269,-76.781,-34.436,22.631,-3.2787,-4.3514,15.831,-16.044,-14.719,-23.279,-35.179,31.297,-2.779,1.6872,-20.859,5.0682,22.829,-9.7978,-7.9007,4.7476,1.7958,-4.8771,-2.7321,83.539,-17.132,-6.5131,4.6573,-0.61482,-0.50449,-2.1417,2.2987,-0.25745,1.2422,0.23085,-0.042468,1.8905,-2.0368,4.4674,-17.746,-9.4626,23.079,1.4518,-1.6438,0.16178,0,0,0,0,0,0,-1.5,1.2835,-2.6618,-7.2084,5.25,3.8334,-0.71322,1.7165,-0.53349,0,0,0,0,0,0
0,0,0,0,-1.558,-3.5221,3.6071,1.8693,0.036779,0,0,0,0,0,0,0,0,0,0,7.2063,-2.1184,-1.5658,-2.3068,0.42524,0,0,0,0,0,0,0,0,0,0,9.1304,-5.7897,0.67075,12.664,-0.25328,0,0,0,0,0,0,0,0,0,0,-6.4139,41.687,-15.64,-59.792,16.649,0,0,0,0,0,0,2.6193,6.7398,-6.2264,9.8469,-3.5155,50.484,-27.945,-26.79,-119.39,-24.231,15.065,56.034,-5.4976,-5.6696,8.7084,-10.62,4.1896,-2.1373,2.7141,57.883,31.915,3.855,6.3654,92.564,36.457,-7.4907,124.19,-78.542,31.37,-11.26,1.0727,6.032,0.59632,47.021,92.986,-18.03,-31.265,24.1,-11.467,3.6545,143.81,-23.026,24.277,-3.4609,-1.3669,-2.7756e-016,-2.549,5.9187,-15.245,-2.1894,-54.402,-51.979,-9.3141,2.6205,130.29,35.252,38.024,-7.5837,3.0478,-4.5311,2.3448,0.94078,58.333,101.54,-8.2786,-49.407,93.479,-22.146,109.45,-10.351,26.035,-9.517,82.214,-20.626,3.0212,6.7966,3.529,-17.866,-19.15,-59.773,4.9849,-26.886,42.14,-15.19,68.915,-2.1331,107.1,-27.589,4.568,-1.384,9.4103,9.7623,-70.986,-24.642,111.5,-20.338,-57.755,-34.117,10.262,-12.471,7.4085,-5.9345,1.3554,-4.7165,9.6962,3.5377,0.15761,21.322,-14.013,7.2292,42.634,-95.07,21.765,-11.108,-19.082,1.0087,-6.7224,-4.2476,1.8562,-1.2099,1.2933,0.73566,0.059215,-1.6337,-0.20304,-12.975,11.033,0.49223,0.42644,-0.19231,0.43149,-2.3917,-1.1074,-0.72668,0.49103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.125,-2.0335,1.0033,-3.8023,-2.5556,0.021234,6.1471,1.0188,-0.67075,0,0,0,0,0,0,-2.4665,2.145,-8.8044,7.2688,-3.9587,-1.6115,-3.2655,-1.9575,-0.79575,0,0,0,0,0,0,-1.3995,-5.6761,0.090304,-4.2835,2.4396,1.1785,-7.7933,2.2054,1.1193,0,0,0,0,0,0,7.1349,-8.8771,0.86603,41.807,55.359,-0.36603,16.61,-12.557,0.77692,0,0,0,0,0,0,1.8849,5.9363,52.451,80.333,-73.949,-22.861,-28.617,-12.366,-7.0622,8.4261,4.6818,0.59928,-0.375,0,0,3.9396,1.145,-111.4,16.182,-65.999,-67.457,5.4162,72.635,-15.341,-12.565,-1.4049,8.2724,-1.2243,0,0,3.6594,-12.16,25.378,135.18,5.7926,45.767,3.9983,67.199,-20.019,-6.2132,39.801,11.049,-0.14952,0,0,5.5924,0.7512,-1.8619,-27.407,8.5659,11.413,-6.8436,-9.0293,4.6825,12.185,5.6915,-124.76,16.708,0,0,11.306,9.8861,49.569,126.45,-24.9,-148.19,-18.684,-1.4677,2.212,107.04,-24.673,-15.713,-22.867,0,0,-1.1208,-15.392,-18.614,-23.429,-43.708,5.2776,34.548,67.288,-14.445,-11.841,59.033,1.0173,2.0012,0,0,3.549,-0.98446,-4.2916,-1.0984,-56.253,121.54,-7.7552,26.587,64.494,-38.328,-16.551,-16.889,1.2333,0,0,4.0188,2.5446,5.1842,-1.3505,9.6307,-22.32,17.872,2.1752,-19.043,-21.901,-7.5756,-4.5081,30.461,0,0,1.1349,0.6609,-0.61154,-0.69078,-0.49792,-0.013462,-0.17196,-0.71618,1.3538,0.42284,-0.89175,0.11034,0.31907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
