4,-13.598,4.5897,10.838,-215.01,-52.264,-76.427,-168.58,-190.93,94.433,324.75,198.04,-47.183,0,0
0,0,0,0,-3.506,-104.95,223.52,139.76,14.698,270.43,-66.953,23.473,18.768,0,0
-10.5,-13.824,-2.366,25.104,-189.78,102.5,72.594,-290.97,107.1,55.935,187.09,187.17,-22.94,0,0
0,0,0,0,19.232,-179.12,33.109,404.34,46.012,-53.285,-264.28,-125.45,22.849,0,0
0,0,0,0,-26.789,109.17,-81.411,13.509,-224.47,196.6,-53.126,-8.7933,3.9498,0,0
10.385,8.8792,-5.9518,29.473,-122.02,-50.436,299.04,-35.682,-109.1,103.13,-94.654,-74.57,17.477,0,0
14,9.2583,-10.69,42.123,37.187,-48.812,47.965,-16.796,390.36,141.33,-135.6,-111.94,26.607,0,0
14.549,11.266,-12.753,39.991,-88.145,-183.92,383.67,37.411,-187.4,-102.52,9.3631,1.8124,-221.5,-0.1887,-2.192
2.75,2.8056,-2.6716,-5.6848,15.879,236.58,247.02,205.61,-63.322,-209.38,5.7071,128.68,15.926,0,0
6.6349,0.14711,-10.916,32.681,100.01,-69.894,51.029,114.08,136.41,-139.22,-309.28,-9.9139,-1.5233,0,0
5.25,-7.9869,-0.52628,3.997,-43.341,125.72,-125.28,-1.5602,35.005,-164.55,127.6,-20.955,40.512,0,0
9,2.6423,-2.7338,-1.5228,18.187,-143.42,233.93,-157.7,-480.11,285.93,-102.81,-129.73,14.823,0,0
5.25,-7.9869,-0.52628,3.997,-3.0756,-182.06,-221.64,99.675,309.96,95.024,-124.51,-214.42,-7.8011,0,0
0,0,0,0,-19.838,127.9,-263.16,-16.09,142.9,111.65,190.7,112.46,-30.175,0,0
0,0,0,0,9.7697,-59.004,-468.17,33.637,307.88,-20.613,-103.87,83.928,78.658,0,0
0,0,0,0,-0.175,-87.447,-274.69,-90.632,217.45,-316.92,117.84,28.588,14.266,0,0
6,-3.1454,3.2776,21.804,-0.29245,181.81,42.279,-319.38,-194.29,263.61,-18.308,332.44,-0.59808,0,0
