13.25,-5.4378,3.9891,-84.176,-114.03,317.49,-46.149,163.09,-369.45,25.894,115.49,70.644,0.0476,25.808,-20.195
12,-8.6029,-0.93477,24.601,-258.39,-162.36,379.25,-222.49,326.85,-79.557,31.098,-225.61,-219.36,13.497,6.3571
8.2925,1.5858,8.4886,5.1878,20.95,45.35,-287.39,178.11,478.59,78.75,75.799,19.684,-54.318,0,0
14.25,-0.50481,-0.64887,30.342,-125.28,-161.51,315.82,-182.73,-176.17,152.27,-41.472,-3.5174,253.91,-3.9829,9.433
6.0425,-0.38966,5.2321,-8.2881,123.62,256.16,-77.789,-11.211,-45.765,290.55,230.69,55.415,-35.587,27.781,-11
0,0,0,0,-29.819,-248.39,201.78,317.92,-321.91,-402.6,-110.63,97.317,29.236,0,0
0,0,0,0,-37.118,109.27,-319.13,-70.98,335.33,-13.402,-423.24,2.6639,-1.0323,0,0
2.75,2.8056,-2.6716,-5.6848,60.38,96.982,103.03,4.0785,1.666,-102.39,-241.9,-242.87,-293.89,-45.459,-14.436
0,0,0,0,-21.807,176.4,8.5194,51.501,10.76,50.013,-148.23,22.436,-0.4363,0,0
11.25,-4.6699,1.4851,40.315,-157.8,-96.199,93.429,-126.34,-57.945,-397.06,-64.023,105.61,-254.34,-77.474,-29.527
11,4.0622,-5.0819,40.229,211.55,-97.818,-245.74,122.45,-105.66,21.862,-278.7,221.98,21.644,0,0
0,0,0,0,-101.99,2.7609,65.65,-187.28,67.84,1.6073,109,-94.423,-34.254,0,0
6.0425,-0.38966,5.2321,-8.2881,96.094,445.33,180.52,19.312,-261.96,74.026,181.36,-108.58,-265.02,13.497,6.3571
-16.5,-9.7828,13.6,-17.415,-5.7578,36.849,43.683,-209.87,212.56,69.639,149.63,39.093,12.905,0,0
0,0,0,0,-5.977,-39.839,-80.657,14.186,-83.818,324.33,-169.83,16.238,10.669,0,0
-20.113,-17.476,6.2539,19.124,110.18,-17.504,-253.08,-210.61,-455,-144.03,-12.79,58.011,-131.76,0,0
1.5,0.96891,1.2518,-3.0407,-67.275,137.86,105.97,107.55,218.44,-149.18,-222.92,-268.63,175.58,49.658,6.8995
0,-8.8818e-016,-2.6645e-015,-5.6843e-014,-20.549,-269.18,-277.38,31.962,265.27,-84.464,-71.777,236.2,285.28,0,0
-29,-36.412,38.244,-194.86,-249.96,327.44,20.023,161.56,-291.48,-349.57,-240.09,-176.92,-27.04,13.497,6.3571
