8,-14.328,7.5538,45.207,123.36,436.06,179.85,357.79,60.271,10.855,191.74,-150.74,-122.13,0,0
-19.25,23.451,-17.386,189.43,324.45,24.906,123.46,-190.14,20.851,160.67,218.72,45.833,67.16,0,0
-23.75,-12.19,-66.474,365.48,-35.855,332.38,543.65,-172.53,170.49,20.261,237.14,-3.3974,4.6005,0,0
-21.382,22.519,-33.125,256.78,327.58,124.75,-335.68,-381.2,-315.09,-226.76,32.085,32.587,-42.469,0,0
5,-4.7745,4.7811,32.943,78.126,-73.048,254.01,-147.28,-24.974,366.32,-277.5,-6.5488,-46.362,0,0
30.5,10.013,39.718,-143.09,69.065,-62.048,279.15,160.06,329.99,-353.98,202.87,136.46,-8.7599,0,0
-2.5,-2.433,-23.655,167.32,434.16,95.783,-178.56,-204.6,433,404.06,11.273,45.418,68.678,0,0
-57.5,-36.652,9.5522,-263.27,-55.368,-115.86,106.96,64.87,-308.56,71.675,148.58,-40.762,-64.986,0,0
-30.427,-13.486,37.32,124.49,118.2,14.111,263.57,234.7,70.446,295.62,174.16,89.788,-24.368,0,0
-5.8325,9.4734,-51.151,36.192,-127.84,212.29,278.99,325.12,289.67,359.65,-149.18,-38.385,-3.259,0,0
-28.927,-6.9907,54.859,16.462,-98.134,609.39,389.24,-3.6525,-445.47,-36.26,260.4,207.85,11.811,0,0
-36.461,-26.632,-1.3883,259.69,430.01,568.91,199.31,162.54,240.9,5.3336,-27.919,-2.3152,-9.6292,0,0
-22.5,-10.074,-29.7,117.55,183.46,77.613,-5.4701,-8.396,373.99,80.834,43.857,113.22,-13.27,0,0
14,-3.5622,29.268,189.79,142.42,185.51,20.759,227.02,602.9,163.51,-9.2646,220.36,244.97,0,0
5.5792,-0.74103,-17.736,-247.36,-145.45,-269.54,315.77,495.17,119.88,-387.88,-442.37,-45.148,68.969,0,0
-28.601,-17.061,47.706,-132.78,-319.12,-187.53,122.02,-7.8082,88.763,-79.761,-72.297,-48.963,35.121,0,0
28.467,12.505,69.312,-93.284,-30.721,575.31,146.02,298.98,100.02,13.587,0.020181,-164.02,-89.822,0,0
10.445,28.67,33.103,-4.6431,-163.24,56.65,-193.68,-690.69,-174.63,-227.08,97.823,155.82,27.092,0,0
-21.865,-3.9856,28.845,98.252,82.001,373.32,-407.82,-412.07,-30.582,34.208,-13.736,-22.215,-105.39,0,0
-23.463,0.25842,2.6573,418.11,82.83,-158.79,-190.53,-155.51,206.36,-118.41,-11.597,-45.179,-102.5,0,0
